id,name,external_id,external_id_type,entity_type,place_id,province_id,autonomous_region_id,dir3,ute_id,administration_level,parent_id,nifs,custom_place_id,is_contractor,is_assignee,slug,address,postal_code,country_name,country_code,place_name,import_pending
18,Junta de Gobierno del Ayuntamiento de San Vicente Raspeig,,,4,3122,3,10,L01031225,,,,{P0312200I},,t,f,juntadegobiernodelayuntamientodesanvicenteraspeig,"Plaza de la Comunitat Valenciana, 1",3690,España,ES,San Vicente del Raspeig/Sant Vicent del Raspeig,f
3466,Alcaldía del Ayuntamiento de Álora,,,4,29012,29,1,L01290120,,,,{P2901200B},,t,f,alcaldadelayuntamientodelora,"Plaza de la Fuente Arriba, 15",29500,España,ES,Álora,f
4324,Presidencia de la Comarca de Gúdar-Javalambre,,,,44158,44,2,L06020004,,,,{P4400020F},,t,f,presidenciadelacomarcadegdarjavalambre,"Calle La Comarca, s/n",44400,España,ES,Mora de Rubielos,f
4800,Junta de Apoderados de la Comunidad del Real Señorío de Molina y su Tierra,,,,19190,19,8,L08190001,,,,{P1900001G},,t,f,juntadeapoderadosdelacomunidaddelrealseorodemolinaysutierra,"Camino de la Conejera, 1",19300,España,ES,Molina de Aragón,f
4334,"Consejo de Administración de la Empresa Pública de Servicios Catarroja, S.L.U.",,,0,46165,46,10,LA0001839,,,,{B98169303},,t,t,consejodeadministracindelaempresapblicadeservicioscatarrojaslu,"Avda. Camí Real, 22 - Bajo - derecha",46470,España,ES,Massanassa,f
1905,Alcaldia del Ayuntamiento de Conil de la Frontera,,,4,11014,11,1,L01110146,,,,{P1101400H},,t,f,alcaldiadelayuntamientodeconildelafrontera,"Plaza de la Constitución, 1",11140,España,ES,Conil de la Frontera,f
6971,Pleno del Ayuntamiento de Regumiel de la Sierra,,,4,9309,9,7,L01093095,,,,{P0931900E},,t,f,plenodelayuntamientoderegumieldelasierra,Plaza España,9693,España,ES,Regumiel de la Sierra,f
7784,Presidencia de la Mancomunidad de Ayuntamientos del Norte de Gran Canaria,,,2,35006,35,5,L05350005,,,,{P3500004A},,t,t,presidenciadelamancomunidaddeayuntamientosdelnortedegrancanaria,"San Juan, 20",35400,España,ES,Arucas,f
951796,Autoridad Portuaria de Alicante,,,,3014,3,10,EA0001296,,,,{Q0367005F},,t,t,autoridadportuariadealicante,"Muelle de Poniente, 11",3001,España,ES,Alicante/Alacant,f
42700,Alcaldía del Ayuntamiento de Almadén de la Plata,,,4,41009,41,1,L01410093,,,,{P4100900B},,t,f,alcaldadelayuntamientodealmadndelaplata,Plaza de la Constitución núm. 1,41240,España,ES,Almadén de la Plata,f
75789,"Dirección Gerencia de la Fundación de la Comunidad Valenciana para la Promoción Estratégica, el Desarrollo y la Innovación Urbana (Las Naves)",,,,46250,46,10,LA0008556,,,,{G98406002},,t,f,direccingerenciadelafundacindelacomunidadvalencianaparalapromocinestratgicaeldesarrolloylainnovacinurbanalasnaves,Calle Joan Verdaguer n.º 16 - 18,46024,España,ES,Valencia,f
8998,Pleno del Ayuntamiento de Palacios de la Valduerna,,,4,24166,24,7,L01241089,,,,{P2411000I},,t,f,plenodelayuntamientodepalaciosdelavalduerna,Plaza de la Constitución s/n,24764,España,ES,Soto de la Vega,f
9242,Asamblea de Concejales de la Mancomunidad Tierra de Campos-Pan-Lampreana,,,,49242,49,7,L05490005,,,,{G49103070},,t,f,asambleadeconcejalesdelamancomunidadtierradecampospanlampreana,"Plaza General Sanjurjo, 6",49136,España,ES,Villafáfila,f
10427,Alcaldia del Ayuntamiento de Arjona,,,4,23006,23,1,L01230063,,,,{P2300600J},,t,f,alcaldiadelayuntamientodearjona,"calle cervantes, 9",23760,España,ES,Arjona,f
